company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;light_struct;dry_sweet;flat_acidic;notes
Vie di Romans;Dolée;4.2;31;36.0;Pasta / Seafood / Hard and aged cheese;Italy;Friuli Isonzo;Friulano;2008.0;64.0;26.0;52.0;fruit tree/citrus/wood
Serafini & Vidotto;Phigaia El Blanco;3.8;28;15.9;na / na / na;Italy;delle Venezie;Miscela;2018.0;;;;
Vie di Romans;Ciampagnis Chardonnay;4.1;38;21.15;Pasta / Seafood / Hard and aged cheese;Italy;Friuli Isonzo;Chardonnay;2020.0;63.0;25.0;51.0;wood/fruit tree/citrus
Fattoria Sardi;Vermentino;3.9;46;12.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Colline Lucchesi;Vermentino;2019.0;39.0;25.0;66.0;fruit tree/citrus/herbaceous
Panizzi;Vernaccia di San Gimignano Blanco;3.8;400;9.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Vernaccia di San Gimignano;Vernaccia di San Gimignano;2018.0;44.0;18.0;66.0;fruit tree/citrus/herbaceous
Candidaterra;Pandataria;3.8;58;27.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Lazio;Falanghina;2018.0;50.0;22.0;43.0;herbaceous/tropical note
Vie di Romans;Ciampagnis Chardonnay;4.1;368;25.8;Pasta / Seafood / Hard and aged cheese;Italy;Friuli Isonzo;Chardonnay;2018.0;63.0;25.0;51.0;wood/fruit tree/citrus
Conti Thun;Contessa Lene Sauvignon Blanc;4.2;27;25.49;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Sauvignon Blanc;2019.0;64.0;17.0;55.0;
Vie di Romans;Dessimis Pinot Grigio;4.1;179;38.0;Seafood / Vegetarian / Mushrooms;Italy;Friuli Isonzo;Pinot Grigio;2008.0;48.0;18.0;39.0;fruit tree/citrus/wood
Castello di Ama;Al Poggio Chardonnay di Toscana;3.8;51;16.5;Pasta / Vegetarian / Appetizers and snacks;Italy;Toscana;Chardonnay;2020.0;44.0;23.0;64.0;fruit tree/wood/citrus
